ISBN,Book-Title,Year-Of-Publication,Author-ID,Book-Author
0684874318,Flesh And Blood,1996,1114,Michael Cunningham
037570387X,The Autograph Man: A Novel (Vintage International (Paperback)),2003,853,Zadie Smith
0451452925,Sisters in Fantasy,1995,2091,Susan Shwartz
1559029838,Call of the Wild,0,818,Jack London
0590414658,Just a Little Bit Lost,1988,2092,Laurel Trivelpiece
0671674919,"The SUSPECT NEXT DOOR NANCY DREW FILES #39 (The Nancy Drew Files Case, No 39)",1989,994,Carolyn Keene
0441048862,Barbary,1993,2093,Vonda N. McIntyre
0553271547,"SEARCH FOR DINOSAURS (Time Machine, No 2)",1984,2094,DAVID BISCHOFF
0553272004,"Civil War Secret Agent (Time Machine, No 5)",1985,2095,Steve Perry
0451450787,"Shadowrun: Never Deal With a Dragon (Secrets of Power, No 1)",1990,2096,Robert N. Charrette
0451450876,Shadowrun: Choose Your Enemies Carefully (Shadowrun (Roc)),1996,2096,Robert N. Charrette
0451450825,"Shadowrun: Find Your Own Truth (Secrets of Power, Vol 3)",1991,2096,Robert N. Charrette
0451452542,"Striper Assassin (Shadowrun, 5254)",1993,2097,Nyx Smith
0451453026,Shadowrun: Nosferatu (Shadowrun (Roc)),1994,2098,Carl Sargent
0451453727,Just Compensation (Shadowrun),1996,2096,Robert N. Charrette
0451453697,"Who Hunts the Hunter (Shadowrun, No 16)",1995,2097,Nyx Smith
0451453700,House of the Sun (Shadowrun),1995,2099,Nigel D. Findley
0451456998,"Technobabel (Shadowrun , No 31)",1998,2100,Stephen Kenson
0451459954,Wolf and Raven (Shadowrun (Roc)),1998,725,Michael A. Stackpole
0451457471,"The Forever Drug (Shadowrun, No 37)",1999,2101,Lisa Smedman
0451453689,Burning Bright (Shadowrun),1994,2102,Tom Dowd
0451457374,"Run Hard, Die Fast (Shadowrun)",1999,2103,Mel Odom
0451451899,"Into the Shadows (Shadowrun, No. 7)",1992,2104,Jordan K. Weisman
0451451996,"Streets of Blood (Shadowrun, No 8)",1992,2098,Carl Sargent
0451453719,Worlds Without End (Shadowrun),1995,2105,Caroline Spector
0451452380,Night's Pawn (Shadowrun),1993,2102,Tom Dowd
0451458397,"The Burning Time (Shadowrun, 40)",2001,2100,Stephen Kenson
0451458184,"Tails You Lose (Shadowrun, No 39)",2001,2101,Lisa Smedman
0399143815,The Secret Warriors (Men at War (Hardcover)),1998,2106,W. E. B. Griffin
0441004911,Isaac Asimov's Christmas,1997,2107,Gardner Dozois
0671578375,Transvergence,1999,1417,Charles Sheffield
0440234948,Area 51: The Sphinx (Area 51 (Paperback)),2000,2108,ROBERT DOHERTY
0671023187,Term Limits,1999,2109,Vince Flynn
0395390338,Curious George and the Pizza,1985,2110,Margret Rey
0679746048,"Girl, Interrupted",1994,2111,SUSANNA KAYSEN
0684803143,Messiah,1999,731,Andrei Codrescu
0451459245,The Firebrand: A Novel,2003,730,Marion Zimmer Bradley
0743417720,The Third Witch: A Novel,2002,2112,Rebecca Reisert
0446610100,Wish You Well,2001,153,David Baldacci
1857027795,Diving Bell and the Butterfly,0,2113,Jean Dominiqu Bauby
0440216745,Whispers,1994,1301,BELVA PLAIN
3453151720,Der Poet.,1999,749,Michael Connelly
344242979X,Dunkles Leuchten.,1996,2114,David L. Lindsey
3423241012,,1997,2115,Binnie Kirshenbaum
3423202343,,1999,997,Joan Smith
0312966970,Four To Score (A Stephanie Plum Novel),1999,536,Janet Evanovich
0671730177,The Ultimate Maze Book,1991,2116,David Anson Russo
0671568485,The STAR TREK THE RETURN,1996,2117,William Shatner
0345352238,Fat Tuesday (Thomas Black Mysteries),1996,2118,Earl W. Emerson
0345334310,The Ship Who Sang,1993,373,Anne McCaffrey
0671876937,Master of Many Treasures,1995,2119,Mary Brown
0671876015,Pigs Don't Fly,1994,2119,Mary Brown
0812533666,Isle of Woman (Geodyssey),1994,163,Piers Anthony
0893757837,Tale of Two Cities (Watermill Classics),1987,233,Charles Dickens
1575663104,The Wall,1998,2120,Mary Rinehart
0679766758,Push,1997,2121,Sapphire
0874869226,She Said Yes: The Unlikely Martyrdom of Cassie Bernall,2001,2122,Misty Bernall
0967224918,B-More Careful,2001,2123,Shannon Holmes
3492215416,Champagner und Kamillentee.,1992,2124,Franziska Stalmann
3499431009,,1993,2125,Colin Dexter
3442440246,Potsdamer Ableben.,1998,2126,Pieke Biermann
3746618959,Sommer Ende Zwanzig.,2003,2127,Claudio Paglieri
3257228449,Der kugelrunde Roberto.,1995,1553,Susanna Tamaro
3570204758,,1999,2128,Sigrid Heuck
3548680291,Yeats ist tot! 15 Autoren schreiben einen sehr irischen Roman.,2001,1126,Marian Keyes
3442450144,Ehrensache.,2002,2129,Ian Rankin
3442727758,Das letzte Konzert.,2001,2130,Bruce Alexander
3426620685,,2002,2131,Friedrich Ani
3596505429,,2002,2132,Birgit Vanderbeke
0307100227,Precious Moments: What a Wonderful World (Golden Super Shape Book),1992,2133,Golden Books
0886251788,"You'Ve Lost Your Marbles, Lickety Spilt",1988,2134,H Williams
1590383141,"The Forgotten Treasure (Book of Mormon Sleuth, Vol. 4)",2004,2135,C. B. Andersen
0061066591,"Two of a Kind #19: Surprise, Surprise! (Two of a Kind, 19)",2001,24,Mary-Kate &amp; Ashley Olsen
0671522728,"Lucky, Lucky Day (Full House Michelle)",1995,1860,R.L. Stine
0816735786,"Meg and the Secret Scrapbook (Always Friends Club, No 1)",1995,2136,Susan Meyers
0689835752,Sheltie Saves The Day (Sheltie),2000,2137,Peter Clover
0152017976,Elidor,1999,2138,Alan Garner
0152017984,The Owl Service,1999,2138,Alan Garner
3596271088,Hexenjagd. Ein Drama in 2 Akten.,1984,2139,Arthur Miller
3596270952,Tod eines Handlungsreisenden.,1986,2139,Arthur Miller
8477204055,El caballero de la armadura oxidada,2000,2140,Robert Fisher
0394577736,A Thousand Acres,1991,297,Jane Smiley
0151104506,Bailey's Cafe,1992,1507,Gloria Naylor
0425175006,The Body on the Beach: A Fethering Mystery (Fethering Mysteries (Hardcover)),2000,2141,Simon Brett
0345426274,The Analyst,2003,2142,John Katzenbach
0425186857,From This Moment on,2002,2143,Lynn Kurland
0671003518,The BRIDE - PROMOTIONAL,1996,1466,Julie Garwood
051512317X,Rising Tides,2001,299,Nora Roberts
0515114693,Born in Fire,1994,299,Nora Roberts
0060507403,The Cheese Monkeys : A Novel in Two Semesters,2002,2144,Chip Kidd
0679767398,"South of the Border, West of the Sun",2000,815,Haruki Murakami
0553212761,Mansfield Park (Bantam Classic),1983,42,Jane Austen
0425174468,Bagombo Snuff Box: Uncollected Short Fiction,2000,1155,Kurt Vonnegut
044012929X,"God Bless You, Mr. Rosewater or Pearls Before Swine",1991,1155,Kurt Vonnegut
0345367421,The Water-Method Man,1990,285,John Irving
0060004533,The Neal Pollack Anthology of American Literature: The Collected Writings of Neal Pollack,2002,2145,Neal Pollack
0380002930,Watership Down,1976,2146,Richard Adams
080215185X,Teach Us to Outgrow Our Madness,1977,2147,Kenzaburo Oe
888183152X,"Uno, Nessuno E Centomila (Fiction, Poetry and Drama)",0,2148,Pirandello
8806155873,Un Giorno Dopo L'altro,2000,2149,Carlo Lucarelli
0718143043,The Safe House,1998,2150,Nicci French
0670858722,The Flaming Corsage,1996,856,William J. Kennedy
0486280489,The Scarlet Letter (Dover Thrift Editions),1994,142,Nathaniel Hawthorne
3821829494,,2000,2151,Walter Moers
0312876912,Humans (Neanderthal Parallax),2003,2152,Robert J. Sawyer
0684148579,Have Spacesuit Will Travel,1977,2153,Robert Heinlein
0553562967,Bellwether,1997,2154,Connie Willis
0446363170,Cape Cod,1992,2155,William Martin
0804110379,Dangerous Mourning (William Monk Novels (Paperback)),1992,205,Anne Perry
0449003183,Brunswick Gardens (Charlotte &amp; Thomas Pitt Novels (Paperback)),1999,205,Anne Perry
044920474X,Rutland Place,1984,205,Anne Perry
0449244970,Paragon Walk,1982,205,Anne Perry
0449210952,Death in the Devil's Acre,1989,205,Anne Perry
0312971346,High Five (A Stephanie Plum Novel),2000,536,Janet Evanovich
0399147101,Potshot,2001,272,Robert B. Parker
0449146383,"I, Vampire",1993,2156,Michael Romkey
0446603066,Guilt by Association,1996,2157,Susan R. Sloan
0446603821,Privileged Conversation,1997,2158,Evan Hunter
0449149374,The Vampire Princess,1996,2156,Michael Romkey
0553378260,Rita Will: Memoir of a Literary Rabble-Rouser,1999,974,Rita Mae Brown
1556614438,"Fire by Night (Refiner's Fire, 2)",2003,2159,Lynn N. Austin
0312850581,Pastwatch: The Redemption of Christopher Columbus,1996,737,Orson Scott Card
0140280553,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",2000,2160,Dava Sobel
0930031067,The Man Who Planted Trees,1987,584,Jean Giono
0060958022,Five Quarters of the Orange,2002,294,Joanne Harris
0385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",1994,618,Laura Esquivel
0380804700,Partner in Crime,2003,2161,J.A. Jance
0500280673,Celtic Borders,1999,2162,Aidan Meehan
048640076X,The Warden (Dover Thrift Editions),1998,432,Anthony Trollope
8432227587,UN Reparti De Asesinos,2003,2163,Sidney D. Kirkpatrick
0349109931,Land Girls: Film Tie-In,1998,2164,Angela Huth
8420638307,En los reinos de taifa,1999,2165,Juan Goytisolo
8420672319,"Sueno Eterno, El",2001,167,Raymond Chandler
8466301151,"Ella, maldita alma",2002,2166,Manuel Rivas
8806143042,Almost blue (Stile libero),1997,2149,Carlo Lucarelli
156245191X,The Secret Language of Men,1995,2167,Sherrie Weaver
0140124497,Uncle Dynamite,1991,2168,P.G. Wodehouse
0553210114,The Red Badge of Courage (Bantam Classics),1981,2169,STEPHEN CRANE
0156658992,The Nine Tailors,1966,2170,Dorothy Leigh Sayers
037550334X,Undue Influence,2000,1350,Anita Brookner
3518396005,Ein springender Brunnen.,2000,2171,Martin Walser
3499123665,Die Hexen von Eastwick. Roman.,1987,1449,John Updike
3548603203,Artemis Fowl.,2003,2172,Eoin Colfer
2253057835,La Contrebasse,1992,589,
2020482363,Sans nouvelles de Gurb,2001,1811,Eduardo Mendoza
2264027754,Eureka Street,1999,2173,Robert McLiam-Wilson
2264032189,,2002,1512,Roddy Doyle
052594527X,Girl With a Pearl Earring,1999,197,Tracy Chevalier
3257204833,,1979,717,Patricia Highsmith
3596156963,,2002,2174,Florian Illies
3596122279,Das Superwieb,2002,601,Hera Lind
3404141970,Wolfsherz.,1999,884,Wolfgang Hohlbein
0029281113,The Passionate Mind: Bringing Up an Intelligent and Creative Child,1991,2175,Michael Schulman
0517559552,The Little Boy Book: A Guide to the First Eight Years,1988,2176,Shelia Moore
0345338545,Follow the River,1996,2177,James Alexander Thom
0375701044,Personal History,1998,2178,Katharine Graham
0316158720,The Archivist,1998,2179,Martha Cooley
0007154615,Unless : A Novel,2003,924,Carol Shields
0375412824,The Dive From Clausen's Pier (Alex Awards),2002,1468,ANN PACKER
1558743669,"A Child Called \""It\"": One Child's Courage to Survive",1995,2180,Dave Pelzer
084236661X,The Strong-Willed Child: Birth Through Adolescence,1985,2181,James Dobson
0708842100,A Wing and a Prayer,1991,2182,Graham Nown
059045367X,"Monster Blood (Goosebumps, No 3)",1995,1202,R. L. Stine
0590453661,"Stay Out of the Basement (Goosebumps, No 2)",1995,1202,R. L. Stine
059042761X,Wednesday Witch,1969,2183,Ruth Chew
0385721617,Juno &amp; Juliet: A Novel,2002,2184,Julian Gough
0694013226,What to Expect When You Use the Potty (What to Expect Kids),2000,2185,Heidi Murkoff
0441005764,"Mossflower (Redwall, Book 2)",1998,1824,Brian Jacques
0553582135,Final Target,2002,822,Iris Johansen
0671034065,Mr. Perfect,2000,824,Linda Howard
0451410777,Sleep Tight (Onyx Book),2003,137,Anne Frasier
0345418832,The Puzzled Heart (Kate Fansler Novels (Hardcover)),1998,2186,Amanda Cross
0671026801,The Hunted,2001,2187,Alan Jacobson
0671024051,Mosaic,1998,2188,Gayle Lynds
0684869829,The Courtship Gift: A Novel,2000,2189,Julie Parsons
0399147772,Orchid Blues (Holly Barker Novels (Hardcover)),2001,110,Stuart Woods
0440237416,Warning Signs,2003,1356,Stephen White
0439101336,A Christmas Carol (Scholastic Classics),2000,233,Charles Dickens
0399147284,Chosen Prey,2001,483,John Sandford
0684832380,"MY GAL SUNDAY LARGE PRINT : \""Henry and Sunday\"" Stories",1996,46,Mary Higgins Clark
039914210X,The Cat Who Tailed a Thief,1997,160,Lilian Jackson Braun
0380730359,"Gone, Baby, Gone: A Novel",1999,1678,Dennis Lehane
0374166560,The Great Victorian Collection,1975,2190,Brian Moore
0451150635,Different Seasons M/TV,1986,120,Stephen King
3596132762,Ein Mann für eine Nacht: Roman (Die Frau in der Gesellschaft),1996,2191,Jil Karoly
3492225926,,1999,2192,Maarten 't Hart
006018700X,Design for Dying,1997,2193,Timothy Leary
0684836483,250 Things You Can Do to Make Your Cat Adore You,1998,2194,Ingrid Newkirk
0571174450,Touching from a Distance: Ian Curtis and Joy Division,1996,2195,Deborah Curtis
0312848846,D/S: An Anti-Love Story,2000,2196,Gary S. Kadet
0442043244,Philosopher Looks At Science,0,2197,John G Kemeny
0880381736,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",1990,877,Margaret Weis
8433966111,La Musica del Azar,1998,281,Paul Auster
0767907817,Bookends : A Novel,2003,1521,Jane Green
0385720106,A Map of the World,1999,602,Jane Hamilton
0553208845,Siddhartha,1981,934,Hermann Hesse
0064400581,Julie of the Wolves (Julie of the Wolves),1972,1557,Jean Craighead George
0571142745,Buddha of Suburbia,0,2198,Hanif Kureishi
0898861780,Snowshoeing,1988,2199,Gene Prater
1586480456,"Sincerely, Andy Rooney",2001,2200,Andy Rooney
030681188X,How to Lose Friends &amp; Alienate People,2002,2201,Toby Young
0688155022,"The Rise and Fall of the House of Barneys: A Family Tale of Chutzpah, Glory, and Greed",1999,2202,Joshua Levine
088064219X,The Private Life of Kim Philby: The Moscow Years,2000,2203,Rufina Philby
1904095399,Who Was Dr.Charlotte Bach?,2002,410,Francis Wheen
0743204158,The Pretender: How Martin Frankel Fooled the Financial World and Led the Feds on One of the Most Publicized Manhunts in History,2002,2204,Ellen Pollock
0310225116,Springs in the Valley,1980,2205,L. B. Cowman
0800758358,"The Stranger from Medina: A Novel (Bagdon, Paul. West Texas Sunrise, Bk. 3.)",2003,2206,Paul Bagdon
0385050755,The Time It Never Rained,1973,2207,Elmer Kelton
0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),1997,2208,Tim LaHaye
0072430958,"Taking Sides: Clashing Views on Controversial Issues in American History, Vol. I",2001,2209,Larry  Madaras
0684823780,Mere Christianity,1996,487,C. S. Lewis
1576738442,The Prayer of Jabez Devotional,2001,819,Bruce Wilkinson
0449219283,Snare of Serpents,1991,2210,Victoria Holt
0553574965,The Last Family,1997,2211,John R. Miller
0440225698,The Klone and I: A High-Tech Love Story,1999,464,Danielle Steel
0440221471,The Runaway Jury,1997,53,JOHN GRISHAM
0394541545,Texas,1990,2212,James A. Michener
0877958920,She Who Remembers,1988,626,Linda Lay Shuler
0440235758,Going Overboard,2001,2213,Christina Skye
0743216458,"Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",2001,2214,Stephen E. Ambrose
0061007129,Kane &amp; Abel,1993,1357,Jeffrey Archer
0886773784,"Arrows of the Queen ( The Heralds of Valdemar, Book 1)",1996,517,Mercedes Lackey
0440228204,The Unprotected Witness (Laurel-Leaf Books),1999,2215,James Stevenson
0883657635,Roger Caras' Treasury of Great Cat Stories,1992,2216,Roger Caras
0425143325,Without Remorse,2004,123,Tom Clancy
0425180964,The Bear and the Dragon (Jack Ryan Novels),2001,123,Tom Clancy
0812520793,Throne of Isis,1995,2217,Judith Tarr
0312109393,The Bette Davis Murder Case,1994,2218,George Baxt
0399148019,The Absence of Nectar,2001,2219,Kathy Hepinstall
8807014467,La Compagnia,1993,2220,Benni
0373063121,Found: One Husband (Harlequin Medical Romance),2001,2221,Meredith Webber
0140620869,Alice's Adventures in Wonderland (Penguin Popular Classics),1994,329,Lewis Carroll
0553801589,The Tail of the Tip-Off,2003,2222,RITA MAE BROWN
0743411250,The Woman Next Door,2002,302,Barbara Delinsky
0590129988,Clockwork : Or All Wound Up,1998,1034,Philip Pullman
0375700684,Powder Burn (Vintage Crime/Black Lizard),1998,798,CARL HIAASEN
0375700692,Trap Line (Vintage Crime/Black Lizard),1998,458,Carl Hiaasen
0312955510,The Heart of Justice (Heart of Justice),1995,2223,William J. Coughlin
8880891901,Frusciante,1999,2224,Brizzi
0345396537,First King of Shannara,1997,671,Terry Brooks
0452272092,So Far from God: A Novel,1994,2225,Ana Castillo
3518383620,Der Kaiser von Amerika.,1992,2226,George Bernard Shaw
3499262967,Die Teebarone.,2001,2227,Hella S. Haasse
3407808836,Jedes Sandkorn ist ein Buchstabe,2002,2228,Arnulf Zitelmann
3423085711,"Catherine, Lady wider Willen. Sonderausgabe.",2002,2229,Karen Cushman
3453159926,Atlantis.,1999,120,Stephen King
3499137909,Der Plan von der Abschaffung des Dunkels.,1998,696,Peter Hoeg
0747563721,The Man with the Dancing Eyes,2003,2230,Sophie Dahl
0451518845,Jane Eyre,1999,2231,Charlotte Bronte
0441009700,Tathea,2002,205,Anne Perry
0345395190,"Orion Arm: The Rampart Worlds: Book 2 (May, Julian. Rampart Worlds, Bk. 2.)",2000,2232,Julian May
0553265571,The Grey Horse,1987,2233,R.A. MacAvoy
0451521285,The Tragedy of Hamlet Prince of Denmark (Signet Classic Shakespeare Series),1993,326,William Shakespeare
0812566351,Prince of Whales,1987,2234,R. L. Fisher
0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,2002,128,Rebecca Wells
0440911710,Camilla (Laurel Leaf Books),1982,2235,MADELEINE L'ENGLE
0140298444,S.: A Novel About the Balkans,2001,2236,Slavenka Drakulic
0395869463,The Bookshop : A Novel,1997,2237,Penelope Fitzgerald
0064407721,Kissing the Witch: Old Tales in New Skins,1999,664,Emma Donoghue
0684859785,The DREAMS OUR STUFF IS MADE OF: How Science Fiction Conquered the World,2000,2238,Thomas M. Disch
0156806479,Selected Poems (Harvest Book),1967,2239,T. S. Eliot
0553266055,All Things Wise and Wonderful,1981,1775,James Herriot
0345441443,Cruel As the Grave,2001,2240,Sharon Kay Penman
0802132952,Naked Lunch,1992,2241,William S. Burroughs
0441535771,Mistress Masham's Repose,1989,2242,T.H. White
0812552989,First Book of Swords,1984,1094,Fred Saberhagen
0451521358,Macbeth,1989,326,William Shakespeare
0140089365,Q's Legacy,1986,2243,Helene Hanff
0451455126,Night Screams: Twenty-Two Stories of Terror,1996,2244,Edward Gorman
038072345X,Anno Dracula,1994,2245,Kim Newman
1580173144,How to Sleep Soundly Tonight: 250 Simple and Natural Ways to Prevent Sleeplessness,2001,2246,Barbara L. Heller
0671025570,Duane's Depressed,1999,61,Larry McMurtry
0553274864,A Grief Observed,1983,487,C. S. Lewis
1888604182,Seeking Wholeness: Insight into the Mystery of Experience,2001,2247,Roland Evans
0805064362,After the Darkest Hour: How Suffering Begins the Journey to Wisdom,2001,2248,Kathleen A. Brehony
0330336215,The Picador Book of the Beach,1996,2249,Robert Drewe
8845909840,La variante di Lüneburg (Fabula),1993,2250,Paolo Maurensig
0061020710,The Color of Magic,2000,213,Terry Pratchett
0440204887,Illusions: The Adventures of a Reluctant Messiah,1994,318,Richard Bach
0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,1986,619,J.R.R. TOLKIEN
0812572297,Callahan's Secret,2002,940,Spider Robinson
0345272579,The Hobbit,1977,89,J. R. R. Tolkien
0385199570,The Stand (The Complete and Uncut Edition),1990,120,Stephen King
0156007568,The Years with Laura Diaz,2001,2251,Carlos Fuentes
3426776545,,2002,2252,Peter Kelder
3404701704,,2001,2253,Dalai Lama
3423205202,Mittsommermord. Roman.,2002,2074,Henning Mankell
3453169247,Der Verrat.,2000,19,John Grisham
3442541751,Russendisko.,2002,2254,Wladimir Kaminer
3423202947,Hunde von Riga.,2000,2074,Henning Mankell
0374332657,Holes (Newbery Medal Book),1998,980,Louis Sachar
0553298496,She's Not What She Seems (Sweet Valley High No. 92),1993,2255,Francine Pascal
0553255371,"Spring Break (Sweet Valley High Super Edition, No 3)",1986,2255,Francine Pascal
0451528018,The Hound of the Baskervilles (Signet Classics (Paperback)),2001,2256,Arthur Conan Doyle
0842321942,Second Chance (Left Behind: The Kids #2),1998,2257,Jerry B. Jenkins
0842321934,The Vanishings (Left Behind: The Kids #1),1998,2257,Jerry B. Jenkins
1562475878,"Happy Birthday, Josefina!: A Springtime Story (American Girls Collection (Paper))",1998,1462,Valerie Tripp
1562475193,Josefina's Surprise: A Christmas Story (American Girls Collection (Paper)),1997,1462,Valerie Tripp
0590997262,The Stranger (Animorphs (Paperback Numbered)),1997,1204,Katherine Applegate
0590997297,"The Secret (Animorphs, No 9)",1997,1204,Katherine Applegate
0590762613,"The Experiment (Animorphs, No 28)",1999,510,K. A. Applegate
0590213040,The Andalite's Gift (Animorphs : Megamorphs 1),1997,510,K. A. Applegate
0439061652,Meet the Stars of Animorphs,1999,2258,Marie Morreale
1584851651,"School Smarts: All the Right Answers to Homework, Teachers, Popularity, and More!",2000,2259,Brooks Whitney
0141304707,The Wonderful Story of Henry Sugar and Six More,2000,290,Roald Dahl
0679866957,"Junie B. Jones and That Meanie Jim's B-Day (Junie B. Jones 6, paper)",1996,2260,Barbara Park
059048575X,101 Telephone Jokes,1994,2261,Katy Hall
044048474X,Tales of a Fourth Grade Nothing,1976,2262,JUDY BLUME
1568657803,Help! I'm Laughing and I Can't Get Up,1998,2263,Liz Curtis Higgs
0140309578,Pippi Longstocking (Seafarer Book),1997,2264,Astrid Ericsson Lindgren
0671028049,"Scarabian Nights:Sabrina, The Teenage Witch #24",1999,2265,Nancy Holder
0671019805,LOTSA LUCK SABRINA THE TEENAGE WITCH 10,1998,2266,Diana G. Gallagher
0671016954,"All You Need Is a Love Spell (Sabrina the Teenage Witch, 7)",1998,2267,Randi Reisfeld
0671019791,A DOGS LIFE SABRINA THE TEENAGE WITCH 9,1998,2268,Cathy West
044809553X,"The Sky Phantom (Nancy Drew Mystery Stories, No 53)",1976,994,Carolyn Keene
0671023810,"TEACHER'S PET: SALEM'S TAILS #2: SABRINA, THE TEENAGE WITCH",1998,2269,Patricia Barnes-Svarney
1561565601,Sabrina: Behind the Scenes,1997,776,Stefanie Scott
0448095548,"The Strange Message in the Parchment (Nancy Drew Mystery Stories, No 54)",1977,994,Carolyn Keene
1584850167,Meet Kit: An American Girl : 1934 (American Girls Collection),2000,1462,Valerie Tripp
1562470752,Meet Addy: An American Girl (American Girls Collection (Paper)),1993,2270,Connie Porter
1562470043,"Meet Felicity: An American Girl : 1774 (The American Girls Collection, Book 1)",1991,1462,Valerie Tripp
1562475150,"Meet Josefina, an American Girl (American Girls Collection (Paper))",1997,1462,Valerie Tripp
0590448250,"Karen's Cartwheel (Baby-Sitters Little Sister, 29)",1992,1864,Ann M. Martin
0590386042,It's Fine to Be Nine,2000,2271,Patricia Maclachlan
0877191174,The Further Adventures of Hank the Cowdog (Hank the Cowdog (Paperback)),1988,2272,John R. Erickson
0689817215,The View from Saturday (Jean Karl Books (Paperback)),1998,2273,E. L. Konigsburg
0671015192,"SANTAS LITTLE HELPER SABRINA THE TEENAGE WITCH 5 (Sabrina, the Teenage Witch (Numbered Paperback))",1997,2268,Cathy West
0671024272,"SABRINA, THE TEENAGE WITCH MAGIC HANDBOOK (Sabrina, the Teenage Witch)",1998,2269,Patricia Barnes-Svarney
3453025423,Roter Drache,2002,2274,Robert Harris
8807816806,Spiriti,2002,1260,Stefano Benni
8806134817,Quel Che Resta Del Giorno,1998,2275,Kazuo Ishiguro
0553141406,Smiley's people,1980,2276,John Le Carré
0517580497,Plains of Passage (Earth's Children),1990,2277,Jean M. Auel
0312863403,"Hope of Earth (Anthony, Piers. Geodyssey, V. 3.)",1997,163,Piers Anthony
086547642X,"Positively 4th Street: The Lives and Times of Joan Baez, Bob Dylan, Mimi Baez Farina and Richard Farina",2002,2278,David Hajdu
1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),1997,15,Jack Canfield
0140380361,The Root Cellar,1996,2279,Janet Louise Swoboda Lunn
8475843271,Això és Ràdio Pica (Col¨lecció Embat),1997,2280,Josep Roca
0394588169,Jurassic Park,1990,29,MICHAEL CRICHTON
0316143464,Dress Your Family in Corduroy and Denim,2004,656,David Sedaris
0385336322,"Ransom (Steel, Danielle)",2004,758,DANIELLE STEEL
038533348X,Cat's Cradle,1998,1155,Kurt Vonnegut
0553294385,"I, Robot",1991,2281,ISAAC ASIMOV
1573222623,Drinking Coffee Elsewhere (Today Show Book Club #11),2003,2282,ZZ Packer
1558746161,Chicken Soup for the Teenage Soul II (Chicken Soup for the Soul Series),1998,15,Jack Canfield
0553583867,The Husband Test,2001,2283,Betina M. Krahn
0553214225,Summer,1993,341,Edith Wharton
0394569962,The Fourth K,1991,2284,Mario Puzo
0553568914,"Elvis, Jesus &amp; Coca-Cola (Kinky Friedman Novels (Paperback))",1996,2285,Kinky Friedman
0671721291,The Ship Who Searched,1992,373,Anne McCaffrey
0553563521,Devil's Waltz (Alex Delaware Novels (Paperback)),1993,1359,Jonathan Kellerman
055357230X,The Clinic (Alex Delaware Novels (Paperback)),1999,1359,Jonathan Kellerman
0399142282,Hornet's Nest,1997,427,Patricia Daniels Cornwell
0140193383,The Tao of Love and Sex,1993,2286,Jolan Chang
1890159018,The Ethical Slut: A Guide to Infinite Sexual Possibilities,1998,2287,Dossie Easton
0446670626,"I, Robot:The Illustrated Screenplay",1994,1058,Isaac Asimov
0590429892,Way Things Work,1988,2288,David Macaulay
0782123813,CCNA: Cisco Certified Network Associate Study Guide,1998,2289,Todd Lammle
0782125352,CCNA Exam Notes: Cisco Certified Network Associate,1999,2289,Todd Lammle
1561703249,"The Western Guide to Feng Shui: Creating Balance, Harmony, and Prosperity in Your Environment (Feng Shui)",1996,2290,Terah Kathryn Collins
0812513711,"The Dragon Reborn (The Wheel of Time, Book 3)",1992,1593,Robert Jordan
0671004107,Contact,1997,64,Carl Sagan
0553213539,The Invisible Man (Bantam Classic),1983,2291,H.G. WELLS
9681905202,La casa pierde,1999,2292,Juan Villoro
8401327156,Resistencia humana,1998,2293,Julio Fuentes
8420634778,Leon Africano,2000,2294,Amin Maalouf
0449200396,Rabbit Run,1982,1449,John Updike
0425173615,Murder on St. Mark's Place (Gaslight Mysteries),2000,2295,Victoria Thompson
0684186454,State of Grace,1986,2296,Joy Williams
006016185X,Valsalva's Maneuver: Mots Justes and Indispensable Terms,1990,2297,John Train
0800730364,"I love you, I hate you",1992,2298,Carlos G Valles
0671766821,Soul Survivors: A New Beginning for Adults Abused As Children (Fireside),1992,2299,J. Patrick Gannon
0671683993,The Temple of My Familiar,1990,836,Alice Walker
0425098680,Dinner at the Homesick Restaurant,1992,66,Anne Tyler
0553245694,Still Life with Woodpecker,1981,1105,Tom Robbins
0874775639,"Babinski Reflex: And 70 Other Useful and Amazing Metaphors from Science, Psychology, Business, Sports, and Everyday Life",1990,2300,Philip Goldberg
0060907215,Lore of the Unicorn,1979,2301,Odell Shepard
0385302274,The 27-Ingredient Chili Con Carne Murders,1993,2302,Nancy Pickard
0670873683,London Holiday,1998,748,Richard Peck
0425168700,Fortune's Daughter,1999,543,Alice Hoffman
0375704906,Some Lie and Some Die (Vintage Crime/Black Lizard),1999,209,Ruth Rendell
0020519001,A Farewell to Arms (A Scribner Classic),1987,567,Ernest Hemingway
0345426029,The Broken Hearts Club,1999,2303,Ethan Black
0060973277,The Mambo Kings Play Songs of Love,1990,1364,Oscar Hijuelos
